Acinar_cell	B_cell	Ductal_cell_type_1	Ductal_cell_type_2	Endocrine_cell	Endothelial_cell	Fibroblast_cell	Macrophage_cell	Stellate_cell	T_cell
AL627309.1	1662188.7975	50656.485	625880.59	4571177.9675	1312436.0175	100037.1	1587833.9275	605494.615	328761.945	90716.84
AP006222.2	5249114.165	389381.4975	5069863.31	15724292.6675	3661626.9425	1066129.89	40138409.1175	2797798.0525	6401216.415	308551.5675
RP11-206L10.3	419929.505	49378.1275	453384.2325	2493456.83	145284.92	121299.585	1028120.095	358122.68	180787.965	43921.3425
RP11-206L10.2	412473.1675	42897.785	108929.59	812589.92	47418.065	62532.325	578497.845	121765.0225	120508.0075	33512.945
RP11-206L10.9	166787.95	47854.37	181255.16	1473566.8275	390462.915	56199.635	648365.65	91141.935	224119.945	33187.41
LINC00115	837564.4925	127456.1075	844533.9825	7874786.165	1404216.1875	392639.9325	5325613.6475	756256.7525	1200501.565	181557.2025
FAM41C	1501317.7275	139403.7525	999812.7275	3444200.2025	632807.245	117701.5375	2444979.6225	480390.5775	335154.72	69577.7025
RP11-54O7.3	0	12122.8075	24295.655	197749.94	528563.36	42686.15	2580490.595	22724.51	100258.1475	10916.58
SAMD11	668068.2975	31247.69	223124.72	1422368.8075	18226430.5725	227095.925	31784555.615	154385.5175	869353.77	54526.4575
NOC2L	13297896.93	1581864.3875	8384826.5025	63140402.8475	9751076.335	3851311.72	55141253.8175	5395874.1925	12575064.41	1503003.3075
KLHL17	908654.4925	37908.5525	521868.3125	4434544.185	818034.3375	147777.025	2860115.355	267243.8075	384510.8875	73038.8475
PLEKHN1	1661552.21	28139.985	949250.165	15460963.1025	436358.6275	104164.3775	2258071.275	209088.0625	205312.7625	161728.98
RP11-54O7.17	747048.3075	2901.25	805138.9825	2891723.22	243189.9375	76317.925	2129875.9325	66806.0375	1164716.875	11490.705
HES4	32983201.7775	354048.8425	28877614.34	99009941.4975	11855769.5425	4644784.4825	117316637.5825	3077737.6075	67998447.3	621703.51
ISG15	90592755.4025	2804301.3725	65893523.585	825547128.43	56082911.5475	23569385.655	481483504.0825	89084603.255	128831195.56	8748990.6925
AGRN	31381750.4975	296841.31	29737299.2	125911766.46	10068821.9975	4980563.7575	41948292.3775	3377527.465	11948454.0325	645987.4725
RNF223	0	3103.45	134664.9525	5037111.6875	0	6603.83	292850.1725	40721.15	15669.3925	13946
C1orf159	3083995.485	143022.9625	1486876.2	10567475.855	1201937.3525	467223.885	6646727.1225	608959.3575	1248527.3175	178133.795
